start,end,corpus,sent_id,left,node,right,node_sentences,term,selection,root,morph,use,target
57,67,ind_news_2024_1M,86599,BENIH-BENIH digitalisasi pendidikan mendorong terobosan,berkemajuan,di Indonesia dan inspirasi dunia.,BENIH-BENIH digitalisasi pendidikan mendorong terobosan <m>berkemajuan</m> di Indonesia dan inspirasi dunia.,berkemajuan,y,maju,ber-ke-root-an,met,
74,84,ind_news_2024_1M,99558,Berubah dari kehidupan jahiliyah di alam kebodohan menuju kehidupan yang,berkemajuan,di bidang ilmu pengetahuan dan teknologi.,Berubah dari kehidupan jahiliyah di alam kebodohan menuju kehidupan yang <m>berkemajuan</m> di bidang ilmu pengetahuan dan teknologi.,berkemajuan,y,maju,ber-ke-root-an,met,
71,81,ind_news_2024_1M,112826,Bupati Sambas Satono didampingi donatur dan warga meresmikan Jembatan,Berkemajuan,"ke-49 di Desa Senujuh, Kecamatan Sejangkung, Kabupaten Sambas, Minggu 16 Juni 2024.","Bupati Sambas Satono didampingi donatur dan warga meresmikan Jembatan <m>Berkemajuan</m> ke-49 di Desa Senujuh, Kecamatan Sejangkung, Kabupaten Sambas, Minggu 16 Juni 2024.",berkemajuan,y,maju,ber-ke-root-an,met,
85,95,ind_news_2024_1M,243807,"Gerakan Dakwah, Tajdid, Ilmu, dan Amal merupakan wujud dari gerakan perempuan Islam",berkemajuan,", demikian diutarakan Siti Syamsiyatun, Ketua LPPA PP Aisyiyah.","Gerakan Dakwah, Tajdid, Ilmu, dan Amal merupakan wujud dari gerakan perempuan Islam <m>berkemajuan</m>, demikian diutarakan Siti Syamsiyatun, Ketua LPPA PP Aisyiyah.",berkemajuan,y,maju,ber-ke-root-an,met,
115,125,ind_news_2024_1M,267422,“Harapannya mudah-mudahan ranting Surgi Mufti ini bisa membawa perserikatan menjadi perserikatan yang betul-betul,berkemajuan,",” harapnya.","“Harapannya mudah-mudahan ranting Surgi Mufti ini bisa membawa perserikatan menjadi perserikatan yang betul-betul <m>berkemajuan</m>,” harapnya.",berkemajuan,y,maju,ber-ke-root-an,met,
85,95,ind_news_2024_1M,293718,Ia menyampaikan warga Muhammadiyah harus senantiasa berpatokan dengan Risalah Islam,Berkemajuan,.,Ia menyampaikan warga Muhammadiyah harus senantiasa berpatokan dengan Risalah Islam <m>Berkemajuan</m>.,berkemajuan,y,maju,ber-ke-root-an,met,
129,139,ind_news_2024_1M,305450,"ID, SAMBAS - Bupati Sambas Satono meresmikan pencanangan Aku Hatinya PKK serta peluncuran program Gerakan Ambil Sampah Keluarga",Berkemajuan,"(GAS KAN) di lapangan tenis Kabupaten Sambas, Desa Lorong, Kecamatan Sambas, Jumat 8 Maret 2024.","ID, SAMBAS - Bupati Sambas Satono meresmikan pencanangan Aku Hatinya PKK serta peluncuran program Gerakan Ambil Sampah Keluarga <m>Berkemajuan</m> (GAS KAN) di lapangan tenis Kabupaten Sambas, Desa Lorong, Kecamatan Sambas, Jumat 8 Maret 2024.",berkemajuan,y,maju,ber-ke-root-an,met,
23,33,ind_news_2024_1M,305457,"ID, SAMBAS - Jembatan",Berkemajuan,"ke-53 di Dusun Kuayan, Desa Mekar Jaya, Kecamatan yang dibangun tanpa dana Anggaran Pendapatan dan Belanja Daerah (APBD) kembali diresmikan Bupati bersama donatur yang terlibat, Selasa 18 Juni 2024.","ID, SAMBAS - Jembatan <m>Berkemajuan</m> ke-53 di Dusun Kuayan, Desa Mekar Jaya, Kecamatan yang dibangun tanpa dana Anggaran Pendapatan dan Belanja Daerah (APBD) kembali diresmikan Bupati bersama donatur yang terlibat, Selasa 18 Juni 2024.",berkemajuan,y,maju,ber-ke-root-an,met,
55,65,ind_news_2024_1M,311641,"""Indonesia sangat mungkin untuk tampil menjadi negara",berkemajuan,berdasarkan inovasi teknologi.,"""Indonesia sangat mungkin untuk tampil menjadi negara <m>berkemajuan</m> berdasarkan inovasi teknologi.",berkemajuan,y,maju,ber-ke-root-an,met,
61,71,ind_news_2024_1M,356999,"Jika ingin sukses maka wajib kerja keras, hemat, gigih, dan",berkemajuan,.,"Jika ingin sukses maka wajib kerja keras, hemat, gigih, dan <m>berkemajuan</m>.",berkemajuan,y,maju,ber-ke-root-an,met,
9,19,ind_news_2024_1M,391728,Kampung,Berkemajuan,versi lazismu diharapkan betul-betul serius dan merupakan mimpi dari kita semua bahkan sudah dirumuskan sejak tahun 2020.,Kampung <m>Berkemajuan</m> versi lazismu diharapkan betul-betul serius dan merupakan mimpi dari kita semua bahkan sudah dirumuskan sejak tahun 2020.,berkemajuan,y,maju,ber-ke-root-an,met,
157,167,ind_news_2024_1M,439838,"Kepala Desa Senujuh Karnawan mengatakan, mewakili Pemdes Senujuh pihaknya mengapresiasi dan terima kasih kepada donatur Ramayana Jakarta membangun Jembatan",Berkemajuan,ke-49 Desa Senujuh.,"Kepala Desa Senujuh Karnawan mengatakan, mewakili Pemdes Senujuh pihaknya mengapresiasi dan terima kasih kepada donatur Ramayana Jakarta membangun Jembatan <m>Berkemajuan</m> ke-49 Desa Senujuh.",berkemajuan,y,maju,ber-ke-root-an,met,
91,101,ind_news_2024_1M,452357,Ketua MWA UNY Prof Suyanto berharap Sumaryanto bisa membawa UNY menjadi kampus yang makin,berkemajuan,dan bermanfaat.,Ketua MWA UNY Prof Suyanto berharap Sumaryanto bisa membawa UNY menjadi kampus yang makin <m>berkemajuan</m> dan bermanfaat.,berkemajuan,y,maju,ber-ke-root-an,met,
163,173,ind_news_2024_1M,528798,"""Memperkaya relasi hubungan sosial kita yang damai, toleran, bersatu dalam keragaman, dan tidak kalah pentingnya justru juga membawa umat dan bangsa kita semakin",berkemajuan,","" ujar dia.","""Memperkaya relasi hubungan sosial kita yang damai, toleran, bersatu dalam keragaman, dan tidak kalah pentingnya justru juga membawa umat dan bangsa kita semakin <m>berkemajuan</m>,"" ujar dia.",berkemajuan,y,maju,ber-ke-root-an,met,
47,57,ind_news_2024_1M,578566,MSP juga memaparkan futuristik Palembang yang,berkemajuan,.,MSP juga memaparkan futuristik Palembang yang <m>berkemajuan</m>.,berkemajuan,y,maju,ber-ke-root-an,met,
17,27,ind_news_2024_1M,636001,Pandangan Islam,Berkemajuan,"meniscayakan pandangan yang inklusif, tidak menjadikan peserta didik menjadi eksklusif – seakan hidup sendiri.","Pandangan Islam <m>Berkemajuan</m> meniscayakan pandangan yang inklusif, tidak menjadikan peserta didik menjadi eksklusif – seakan hidup sendiri.",berkemajuan,y,maju,ber-ke-root-an,met,
100,110,ind_news_2024_1M,641329,"“Pariwisata berkualitas dan berkelanjutan serta ekonomi kreatif yang inklusif, bernilai tambah dan",berkemajuan,",” ujarnya.","“Pariwisata berkualitas dan berkelanjutan serta ekonomi kreatif yang inklusif, bernilai tambah dan <m>berkemajuan</m>,” ujarnya.",berkemajuan,y,maju,ber-ke-root-an,met,
23,33,ind_news_2024_1M,660890,"""Pembentukan Tim Anai",Berkemajuan,"ini sudah terwakili beberapa kecamatan, hanya saja Kecamatan Sajingan Besar dan Kecamatan Subah yang tidak bisa hadir,"" ungkapnya.","""Pembentukan Tim Anai <m>Berkemajuan</m> ini sudah terwakili beberapa kecamatan, hanya saja Kecamatan Sajingan Besar dan Kecamatan Subah yang tidak bisa hadir,"" ungkapnya.",berkemajuan,y,maju,ber-ke-root-an,met,
15,25,ind_news_2024_1M,741780,Risalah Islam,Berkemajuan,adalah bentuk dari pemahaman terhadap konsep dasar Islam.,Risalah Islam <m>Berkemajuan</m> adalah bentuk dari pemahaman terhadap konsep dasar Islam.,berkemajuan,y,maju,ber-ke-root-an,met,
63,73,ind_news_2024_1M,773284,"""Saya kira ini sesuai dengan falsafah perjuangan Muhammadiyah",berkemajuan,untuk semua.,"""Saya kira ini sesuai dengan falsafah perjuangan Muhammadiyah <m>berkemajuan</m> untuk semua.",berkemajuan,y,maju,ber-ke-root-an,met,
43,53,ind_news_2024_1M,776274,"Sayangnya, komentarnya jauh dari semangat",berkemajuan,.,"Sayangnya, komentarnya jauh dari semangat <m>berkemajuan</m>.",berkemajuan,y,maju,ber-ke-root-an,met,
120,130,ind_news_2024_1M,788955,"Sebagai organisasi Islam terbesar kedua di Indonesia, Muhammadiyah terus menjadi pilar dalam membangun masyarakat yang",berkemajuan,.,"Sebagai organisasi Islam terbesar kedua di Indonesia, Muhammadiyah terus menjadi pilar dalam membangun masyarakat yang <m>berkemajuan</m>.",berkemajuan,y,maju,ber-ke-root-an,met,
